pin,t,lin,lout,hazard_1,hazard_2,hazard_b,q_1,q_2,q_b,S_1,S_2,S_b,p_1,p_2,p_b
0.08,3,8,2,0.5121069918181461,0.617055219006137,0.31331740660695906,0.8161303028745497,0.865257076080825,0.7519786257078733,1.0039285039367574e-45,1.920943344393279e-46,2.2853227283043548e-29,1.0537531744253151e-45,3.0952977423968915e-46,1.0427399753271758e-29
0.08,4,8,2,0.5124088105562598,0.5539108386348922,0.28526343035220136,0.8700231365187892,0.8907828262101666,0.8200277486874076,4.895066933509982e-46,8.569120055302833e-47,1.6334037273664026e-29,5.144218105857592e-46,1.0640313388629958e-46,6.519190009379522e-30
0.08,5,8,2,0.5096672480169493,0.5119952973055221,0.266499094278523,0.904240476231968,0.9132959594802497,0.8659069700713193,2.4002116406491827e-46,4.181770884941347e-47,1.1981031134320928e-29,2.4948552928607996e-46,4.387349170361486e-47,4.3530061393430975e-30
0.08,6,8,2,0.5050392047164087,0.48367476778919766,0.2532635457270711,0.9275962264437367,0.9316369211914657,0.8982791298625025,1.188010662504653e-46,2.159153823219713e-47,8.946672707776377e-30,1.2122009781445297e-46,2.0226170617216339e-47,3.0343584265445515e-30
0.08,7,8,2,0.499684725228812,0.46412636042187594,0.24360483062382182,0.944332917953635,0.9461662606032456,0.9218463700897849,5.943798810421165e-47,1.1570336176577693e-47,6.767220018151742e-30,5.936307814625364e-47,1.0021202055619438e-47,2.1794526896246344e-30
0.08,8,8,2,0.49435357584081757,0.4503364534508642,0.23639185063798313,0.956723999584386,0.9575662915382978,0.9393915468105626,3.0054606144110644e-47,6.359792017583462e-48,5.167504354386446e-30,2.938338196010101e-47,5.210544158994231e-48,1.599715663765296e-30
0.08,9,8,2,0.4894454847234995,0.440406659794453,0.2309167196432909,0.9661018325377103,0.9664925066112784,0.9526699501417221,1.5344514871732545e-47,3.558897258132105e-48,3.9742412001291064e-30,1.47100912723781e-47,2.800894759451357e-48,1.1932631542573397e-30
0.08,10,8,2,0.4851311460766568,0.43312219646475175,0.22671098052024424,0.9733067094001291,0.9734892444489612,0.9628438403501443,7.900412786018633e-48,2.0174598606975445e-48,3.0732370808238844e-30,7.444102085713912e-48,1.5414373974345602e-48,9.01004119305222e-31
0.08,11,8,2,0.48144838729861883,0.42769062881776465,0.22345148736928894,0.9789003522500518,0.9789861241468555,0.9707125129317795,4.0967717911965735e-48,1.154611184261212e-48,2.3865176840753355e-30,3.803640994822059e-48,8.628486764363326e-49,6.8671939674854885e-31
0.08,12,8,2,0.4783653426842043,0.42358407925920555,0.2209082140870344,0.9832754399305399,0.983315922715673,0.9768423613460707,2.1370181494018432e-48,6.655362688735455e-49,1.8593163245991277e-30,1.9597536417947303e-48,4.8907491538766645e-49,5.2720135947620786e-31
0.08,13,8,2,0.4758184446961614,0.4204432095445818,0.21891341632248013,0.9867158527545059,0.9867350265436055,0.9816444426145604,1.1201854972659891e-48,3.857160639200262e-49,1.4522870359569752e-30,1.0168326521358541e-48,2.7982020495351927e-49,4.0702928864215245e-31
0.08,14,8,2,0.4737338631532244,0.41801809209271645,0.21734244721824003,0.9894319880153731,0.9894410942142052,0.985422844757453,5.8951569419795634e-49,2.244797707906646e-49,1.136643417498762e-30,5.306698030680328e-49,1.612362931293616e-49,3.156436184582131e-31
0.08,15,8,2,0.47203880689886774,0.4161312679292224,0.21610130706340716,0.9915826731563046,0.9915870073492874,0.9884060101561031,3.112414092605953e-49,1.3106671914708412e-49,8.910132893122616e-31,2.7827428493736104e-49,9.34130516435805e-50,2.456301281865005e-31
0.08,16,8,2,0.4706668998957798,0.41465428803646237,0.21511827483105386,0.9932894489818153,0.9932915154358815,0.9907676900353154,1.6475038004471726e-49,7.6719342033875e-50,6.993400476638652e-31,1.4649102921587804e-49,5.434737711320913e-50,1.9167324164839638e-31
0.08,17,8,2,0.4695602374254112,0.4134925502638191,0.2143381165121217,0.9946462723743412,0.9946472589624308,0.9926413603765999,8.73901524749931e-50,4.49964656417258e-50,5.49444819046095e-31,7.736022756972416e-50,3.1722876392149194e-50,1.498952286177702e-31
0.08,18,8,2,0.4686696751927564,0.41257531065831377,0.21371797755210425,0.9957263339663267,0.9957268055048744,0.9941303822134014,4.643303809949263e-50,2.643203485106464e-50,4.3201858354308165e-31,4.095711437550047e-50,1.8564430790661162e-50,1.1742623550301337e-31
0.08,19,8,2,0.4679542490424825,0.41184897151217004,0.21322440931352196,0.9965869802575448,0.9965872058235754,0.9953153133067875,2.4704500624883577e-50,1.5546028482679832e-50,3.399016762546436e-31,2.172853747460905e-50,1.088600636838481e-50,9.211690728843803e-32
0.08,20,8,2,0.4673802281137386,0.4112724788334822,0.21283117911687544,0.9972733443930928,0.9972734523695738,0.9962592646930091,1.3158105487389494e-50,9.152374812592179e-51,2.6756000171356535e-31,1.1546395137494082e-50,6.393653670087653e-51,7.234167454107827e-32
