pin,t,lin,lout,hazard_1,hazard_2,hazard_b,q_1,q_2,q_b,S_1,S_2,S_b,p_1,p_2,p_b
0.06,13,8,2,0.6762841518970419,0.6258130686668019,0.41871344658736137,0.9995502830550859,0.9995511830671943,0.9992706917952388,8.088471785878424e-7,2.4163202380036334e-7,5.208264985309093e-4,1.689786062039252e-6,4.041201486217139e-7,3.751627437338942e-4
0.06,14,8,2,0.6763989642912276,0.6255758097272002,0.4186409437232816,0.9997303142062576,0.9997306381232898,0.9995625108034624,2.617437847211442e-7,9.047287485542893e-8,3.027872016698371e-4,5.471033938666982e-7,1.511591489449344e-7,2.1803929686107224e-4
0.06,15,8,2,0.6764678879354414,0.6254334556513679,0.41859746324380986,0.9998382404782808,0.9998383570695565,0.9997375409304867,8.46825194906029e-8,3.388811209188427e-8,1.7604124714815138e-4,1.7706126523054128e-7,5.6584762763544665e-8,1.267459545216857e-4
0.06,16,8,2,0.6765092551503424,0.6253480436734288,0.41857138259724447,0.9999029629863172,0.9999030049551043,0.9998425369568985,2.739401130576078e-8,1.2696247491438574e-8,1.0235541893520645e-4,5.728850818484213e-8,2.1191864600445693e-8,7.368582821294493e-5
0.06,17,8,2,0.6765340801676535,0.6252967966560324,0.4185557369597851,0.9999417845226314,0.9999417996305153,0.9999055266370284,8.861029064915611e-9,4.7573246054898464e-9,5.951397113095357e-5,1.853298224084517e-8,7.938922885948729e-9,4.284144780425288e-5
0.06,18,8,2,0.6765489768649198,0.6252660485063516,0.41854635056602735,0.999965073136482,0.9999650785751304,0.9999433175887256,2.8661089170766373e-9,1.7827310479531722e-9,3.460461570640104e-5,5.9949201478389735e-9,2.9745935575366742e-9,2.490935542455253e-5
0.06,19,8,2,0.6765579154899396,0.6252475996392266,0.41854071908565665,0.9999790447540912,0.9999790467119636,0.9999659911315499,9.270202425721395e-10,6.680827394181283e-10,2.012117496496114e-5,1.939088674504498e-9,1.1146483085350439e-9,1.4483440741439903e-5
0.06,20,8,2,0.6765632788880183,0.6252365303287604,0.4185373403260456,0.9999874271664381,0.9999874278712633,0.9999795948871172,2.9983238766196674e-10,2.5037300545180443e-10,1.169971191089129e-5,6.271878549101728e-10,4.177097339663239e-10,8.421463054069848e-6
0.08,0,8,2,0,0,0,0,1,0,1,1,1,0,0,0
0.08,1,8,2,0.5272924240430485,0.8521437889662113,0.44932896411722156,0.5272924240430485,0.8521437889662113,0.44932896411722156,0.47270757595695145,0.14785621103378865,0.5506710358827784,0.5272924240430485,0.8521437889662113,0.44932896411722156
0.08,2,8,2,0.5103824741159977,0.7126823382521806,0.3592354000861762,0.7216681712247384,0.8434444909071444,0.6436907766286843,0.23144591380666668,0.042481700829120284,0.3528505059915595,0.24126166215028477,0.10537451020466837,0.19782052989121895
0.08,3,8,2,0.5121069918181461,0.617055219006137,0.31331740660695906,0.8161303028745497,0.865257076080825,0.7519786257078733,0.11292084311853266,0.016268145620254276,0.24229630053433077,0.11852507068813402,0.026213555208866007,0.11055420545722872
0.08,4,8,2,0.5124088105562598,0.5539108386348922,0.28526343035220136,0.8700231365187892,0.8907828262101666,0.8200277486874076,0.05505920820915534,0.007257043436704681,0.17317802668225965,0.057861634909377326,0.009011102183549596,0.06911827385207112
0.08,5,8,2,0.5096672480169493,0.5119952973055221,0.266499094278523,0.904240476231968,0.9132959594802497,0.8659069700713193,0.02699733308320291,0.00354147132476998,0.12702623942249558,0.028061875125952426,0.0037155721119347005,0.04615178725976407
0.08,6,8,2,0.5050392047164087,0.48367476778919766,0.2532635457270711,0.9275962264437367,0.9316369211914657,0.8982791298625025,0.013362621453398123,0.0018285510041297576,0.09485512362597848,0.013634711629804789,0.0017129203206402224,0.0321711157965171
0.08,7,8,2,0.499684725228812,0.46412636042187594,0.24360483062382182,0.944332917953635,0.9461662606032456,0.9218463700897849,0.006685523624120253,9.798722817372465e-4,0.0717479573012703,0.006677097829277869,8.486787223925111e-4,0.023107166324708175
0.08,8,8,2,0.49435357584081757,0.4503364534508642,0.23639185063798313,0.956723999584386,0.9575662915382978,0.9393915468105626,0.0033805111141681442,5.386000735448889e-4,0.05478732489532802,0.003305012509952109,4.412722081923576e-4,0.016960632405942283
0.08,9,8,2,0.4894454847234995,0.440406659794453,0.2309167196432909,0.9661018325377103,0.9664925066112784,0.9526699501417221,0.0017259352132809396,3.0139701418993765e-4,0.04213601555246767,0.0016545759008872046,2.3720305935495125e-4,0.01265130934286035
0.08,10,8,2,0.4851311460766568,0.43312219646475175,0.22671098052024424,0.9733067094001291,0.9734892444489612,0.9628438403501443,8.886302852078984e-4,1.7085527739607391e-4,0.03258331815135146,8.373049280730412e-4,1.3054173679386374e-4,0.009552697401116209
0.08,11,8,2,0.48144838729861883,0.42769062881776465,0.22345148736928894,0.9789003522500518,0.9789861241468555,0.9707125129317795,4.6080066748984403e-4,9.778207636971344e-5,0.025302527247005227,4.2782961771805435e-4,7.307320102636047e-5,0.007280790904346232
0.08,12,8,2,0.4783653426842043,0.42358407925920555,0.2209082140870344,0.9832754399305399,0.983315922715673,0.9768423613460707,2.403695982769547e-4,5.636314558259505e-5,0.019712991140980775,2.2043106921288932e-4,4.1418930787118397e-5,0.005589536106024452
0.08,13,8,2,0.4758184446961614,0.4204432095445818,0.21891341632248013,0.9867158527545059,0.9867350265436055,0.9816444426145604,1.25997309872573e-4,3.266564375382027e-5,0.015397552904373887,1.1437228840438171e-4,2.3697501828774777e-5,0.004315438236606888
0.08,14,8,2,0.4737338631532244,0.41801809209271645,0.21734244721824003,0.9894319880153731,0.9894410942142052,0.985422844757453,6.630811751972509e-5,1.901081367486796e-5,0.012051011074964946,5.9689192352847914e-5,1.3654830078952309e-5,0.0033465418294089406
0.08,15,8,2,0.47203880689886774,0.4161312679292224,0.21610130706340716,0.9915826731563046,0.9915870073492874,0.9884060101561031,3.500811283800415e-5,1.1099819675978955e-5,0.009446771830229427,3.1300004681720935e-5,7.910993998889006e-6,0.0026042392447355196
0.08,16,8,2,0.4706668998957798,0.41465428803646237,0.21511827483105386,0.9932894489818153,0.9932915154358815,0.9907676900353154,1.853095289733909e-5,6.497231850902786e-6,0.007414598571387875,1.6477159940665064e-5,4.602587825076169e-6,0.0020321732588415515
0.08,17,8,2,0.4695602374254112,0.4134925502638191,0.2143381165121217,0.9946462723743412,0.9946472589624308,0.9926413603765999,9.829554255145435e-6,3.810674883217679e-6,0.00582536747890313,8.701398642193654e-6,2.686556967685107e-6,0.0015892310924847447
0.08,18,8,2,0.4686696751927564,0.41257531065831377,0.21371797755210425,0.9957263339663267,0.9957268055048744,0.9941303822134014,5.222740255096848e-6,2.2384845094563118e-6,0.004580381722814153,4.606814000048587e-6,1.572190373761367e-6,0.0012449857560889776
0.08,19,8,2,0.4679542490424825,0.41184897151217004,0.21322440931352196,0.9965869802575448,0.9965872058235754,0.9953153133067875,2.7787367610790587e-6,1.3165669664908052e-6,0.003603732535536653,2.4440034940177894e-6,9.219175429655065e-7,9.766491872775e-4
0.08,20,8,2,0.4673802281137386,0.4112724788334822,0.21283117911687544,0.9972733443930928,0.9972734523695738,0.9962592646930091,1.4800101398178972e-6,7.750992066318535e-7,0.0028367458907765397,1.2987266212611615e-6,5.414677598589517e-7,7.669866447601132e-4
