pin,t,lin,lout,hazard_1,hazard_2,hazard_b,ce_1,ce_2,S_1,S_2,S_b,p_1,p_2,p_b,e_1,e_2
0.06,13,8,2,0.6301539478839401,0.6308941155136263,0.40021881906562773,0.9991786533544523,0.999180718094097,3.0870966610162377e-6,2.0671784965811526e-7,7.293082047612475e-4,5.259880799885489e-6,3.533324186971883e-7,4.8664892751337774e-4,0.9978764734877957,0.9979220432545929
0.06,14,8,2,0.630216975509399,0.6306611183698276,0.40013125633098734,0.9995075610692986,0.9995083040098138,1.14155594020542e-6,7.634893940572241e-8,4.374891965376325e-4,1.945540720810818e-6,1.3036891025239285e-7,2.9181900822361495e-4,0.9987233627201547,0.9987418555123888
0.06,15,8,2,0.6302548200061966,0.6305213209313777,0.4000787411656688,0.9997046694131069,0.9997049367927394,4.2208480658424843e-7,2.82093052799166e-8,2.6245906951327663e-4,7.194711336211715e-7,4.813963412580581e-8,1.750301270243559e-4,0.9992330159623207,0.9992404504615271
0.06,16,8,2,0.6302775367498189,0.6304374427770334,0.40004724015252296,0.9998228494264363,0.9998229456660567,1.560542343908046e-7,1.0425102996729312e-8,1.5746304310149115e-4,2.660305721934438e-7,1.7784202283187288e-8,1.0499602641178549e-4,0.9995394140704141,0.9995423790778187
0.06,17,8,2,0.6302911704107291,0.6303871159967301,0.400028342455285,0.9998937268520073,0.9998937614945893,5.769462834907411e-8,3.853252384652252e-9,9.447336297163653e-5,9.835960604173048e-8,6.57185061207706e-9,6.298968012985462e-5,0.9997234931149714,0.9997246675227245
0.06,18,8,2,0.6302993519082037,0.6303569199702419,0.40001700488368236,0.9999362423009227,0.9999362547714571,2.1329741492068018e-8,1.4243280795948688e-9,5.66824112744335e-5,3.636488685700609e-8,2.428924305057383e-9,3.779095169720303e-5,0.9998340351557686,0.9998344975776564
0.06,19,8,2,0.630304261274611,0.6303388023672661,0.40001020271691357,0.9999617476086592,0.9999617520978797,7.885514537731666e-9,5.265188237249711e-10,3.400886845006389e-5,1.3444226954336352e-8,8.978092558698977e-10,2.2673542824369612e-5,0.9999003974615207,0.9999005786043456
0.06,20,8,2,0.6303072070630286,0.6303279318101409,0.400006121556891,0.9999770493672717,0.9999770509833541,2.915217893199111e-9,1.946393025073019e-10,2.0405112882815314e-5,4.970296644532555e-9,3.318795212176692e-10,1.3603755567248573e-5,0.999940229312579,0.9999402999520234
0.07,0,8,2,0,0,0,NA,NA,1,1,1,0,0,0,0,1
0.07,1,8,2,0.5712090638488149,0.8693582353988059,0.4965853037914095,0,0.8693582353988059,0.42879093615118513,0.13064176460119414,0.5034146962085905,0.5712090638488149,0.8693582353988059,0.4965853037914095,0.5712090638488149,0.8693582353988059
0.07,2,8,2,0.5476421150803472,0.7522890456605997,0.4100404536529831,0.5608566976247336,0.8080273369482064,0.193966960950068,0.03236139618594508,0.29699430579964137,0.23482397520111714,0.09828036841524906,0.2064203904089491,0.555190404404679,0.8007455882185381
0.07,3,8,2,0.5455692222145577,0.674363479402558,0.36797272836967515,0.7612477450290693,0.8445217791696507,0.08814455692921791,0.010538052455666485,0.18770850078428966,0.10582240402085008,0.021823343730278597,0.1092858050153517,0.6653118685173502,0.810616987239825
0.07,4,8,2,0.5457666792750426,0.6246888909871704,0.3440388091150972,0.856014286023414,0.8864831868952481,0.0400381947977887,0.003955048153971561,0.12312949171368236,0.04810636213142921,0.006583004301694923,0.0645790090706073,0.7521780942238376,0.8369037944127475
0.07,5,8,2,0.5453376694716595,0.5931899134766025,0.32931838689299,0.9079877845032851,0.9196819131535708,0.018203858956910287,0.0016089534817213742,0.0825806861235787,0.021834335840878415,0.002346094672250187,0.040548805590103654,0.8181151418662032,0.8664323068516628
0.07,6,8,2,0.5442490556852904,0.5731233872804049,0.3198479855113643,0.9391581662133952,0.9437822198119808,0.008296425909783649,6.868246123006191e-4,0.056167420024805785,0.009907433047126638,9.22128869420755e-4,0.026413266098772918,0.867330178669247,0.8942741746056824
0.07,7,8,2,0.5428640376126228,0.560245089715646,0.3135824285501208,0.9589254770415537,0.9607896182094646,0.00379259464264452,3.02034495763345e-4,0.0385543040480325,0.004503831267139129,3.847901165372741e-4,0.017613115976773286,0.9037266802099015,0.9184417173272779
0.07,8,8,2,0.5414650105731899,0.5519141289401667,0.30936140023665615,0.9719108602319391,0.9726721053967884,0.0017390373443651817,1.3533739012423597e-4,0.02662709056258339,0.002053557298279338,1.6669710563910903e-4,0.01192721348544911,0.9304704092954217,0.9383558074161367
0.07,9,8,2,0.540205669759688,0.5464828551661963,0.30648329407297104,0.9806341512158578,0.9809477326053347,7.995995110152796e-4,6.137782675840211e-5,0.018466332135383512,9.394378333499021e-4,7.395956336583386e-5,0.008160758427199877,0.9500113391655715,0.9541654960295519
0.07,10,8,2,0.5391466774198039,0.5429159781045249,0.30450482006476043,0.9865786871327968,0.9867086322302919,3.6849809138489166e-4,2.8054823909934153e-5,0.012843244991242451,4.311014196303879e-4,3.332300284846796e-5,0.005623087144141061,0.9642121601527873,0.9663676160627088
0.07,11,8,2,0.5382947528054992,0.540557517297414,0.30313718659725114,0.990667097724852,0.9907211667799919,1.7013750237356316e-4,1.288957794896402e-5,0.008949979837817977,1.983605890113285e-4,1.5165245960970134e-5,0.0038932651534244744,0.9744776686935701,0.9755810900859817
0.07,12,8,2,0.5376301427198069,0.538988278150826,0.30218817305111434,0.9934957826664076,0.9935183442214487,7.866645269047291e-5,5.9422465241610475e-6,0.006245401781783454,9.147104968309025e-5,6.947331424802972e-6,0.0027045780560345225,0.9818610287724727,0.9824192154848574
0.07,13,8,2,0.5371230855386482,0.5379381610646762,0.3015278960831307,0.9954605411152894,0.9954699739978532,3.641288489298601e-5,2.74568535636089e-6,0.004362238922328453,4.22535677974869e-5,3.1965611678001576e-6,0.001883162859455001,0.9871467711960866,0.9874262057858525
0.07,14,8,2,0.5367426376170131,0.5372317627901387,0.3010676615340519,0.9968287384904116,0.9968326877449739,1.6868537012280007e-5,1.2706159722960586e-6,0.003048909850930203,1.9544347880706004e-5,1.4750693840648312e-6,0.0013133290713982504,0.9909151465663855,0.99105376029396
0.07,15,8,2,0.5364608247648253,0.5367543329025152,0.30074645178404547,0.9977831307312613,0.9977847857424579,7.819227734096293e-6,5.88607343711007e-7,0.0021319610314535216,9.049309278183714e-6,6.820086285850516e-7,9.169488194766813e-4,0.9935920851958993,0.9936602967995676
0.07,16,8,2,0.5362541631014409,0.5364302817100989,0.3005220707123851,0.9984496262864123,0.998450320313684,3.6261343094489094e-6,2.7286054050747853e-7,0.0014912596876029967,4.1930934246473835e-6,3.1574680320352847e-7,6.407013438505249e-4,0.9954879171354811,0.9955212503962849
0.07,17,8,2,0.536103819559077,0.5362094964457711,0.3003652315262494,0.9989154241423124,0.9989157153176643,1.6821498559191329e-6,1.2655012748204255e-7,0.0010433371262703604,1.9439844535297765e-6,1.4631041302543598e-7,4.479225613326363e-4,0.9968271798317719,0.9968433700232553
0.07,18,8,2,0.5359951492243109,0.5360585577466976,0.3002555553782938,0.9992411257549868,0.9992412479558367,7.805256928781041e-7,5.871184866135809e-8,7.300693579752603e-4,9.016241630410288e-7,6.783827882068446e-8,3.1326776829510006e-4,0.9977713295777998,0.9977791515912133
0.07,19,8,2,0.5359170115989632,0.5359550577125273,0.30017883652669064,0.9994689461956235,0.9994689974927257,3.622286960746604e-7,2.7244936423650748e-8,5.109179875144586e-4,4.182969968034437e-7,3.146691223770734e-8,2.191513704608017e-4,0.9984358417098343,0.9984396032971143
0.07,20,8,2,0.5358610691383859,0.5358838972255282,0.3001251599856223,0.9996283386017457,0.9996283601385216,1.6812443972348941e-7,1.264481371328304e-8,3.5757864477214957e-4,1.94104256351171e-7,1.4600122710367708e-8,1.5333934274230904e-4,0.9989029331825071,0.9989047348076108
0.08,0,8,2,0,0,0,NA,NA,1,1,1,0,0,0,0,1
0.08,1,8,2,0.5272924240430485,0.8521437889662113,0.44932896411722156,0,0.8521437889662113,0.47270757595695145,0.14785621103378865,0.5506710358827784,0.5272924240430485,0.8521437889662113,0.44932896411722156,0.5272924240430485,0.8521437889662113
