pin,t,lin,lout,hazard_1,hazard_2,hazard_b,q_1,q_2,q_b,S_1,S_2,S_b,p_1,p_2,p_b
0.08,16,8,2,0.4212043387533952,0.4213825736918434,0.20369863274078231,0.9932894489818153,0.9932915154358815,0.9907676900353154,6.351231998373284e-5,5.423428653849958e-6,0.009232309964684604,4.6219532267786445e-5,3.949653467879264e-6,0.002361679879212321
0.08,17,8,2,0.4201096317023762,0.42021649424201485,0.20294707916563146,0.9946462723743412,0.9946472589624308,0.9926413603765999,3.683018262680337e-5,3.1444144781574394e-6,0.0073586396234001095,2.6682137356929473e-5,2.2790141756925184e-6,0.0018736703412844946
0.08,18,8,2,0.41923150848653473,0.41929558806805867,0.2023501507080923,0.9957263339663267,0.9957268055048744,0.9941303822134014,2.1389809606334025e-5,1.825975360408698e-6,0.005869617786598559,1.5440373020469342e-5,1.3184391177487414e-6,0.0014890218368015509
0.08,19,8,2,0.41852777019863335,0.4185661996226321,0.20187534120048534,0.9965869802575448,0.9965872058235754,0.9953153133067875,1.2437580286821735e-5,1.0616837931978634e-6,0.004684686693212536,8.95222931951229e-6,7.642915672108346e-7,0.0011849310933860222
0.08,20,8,2,0.41796414883886246,0.4179871976547278,0.20149722874515041,0.9972733443930928,0.9972734523695738,0.9962592646930091,7.2391176286252745e-6,6.179135596836469e-7,0.003740735306990928,5.198462658196461e-6,4.4377023351421656e-7,9.439513862216082e-4
0.09,0,8,2,0,0,0,0,1,0,1,1,1,0,0,0
0.09,1,8,2,0.4867522559599717,0.835270211411272,0.4065696597405991,0.4867522559599717,0.835270211411272,0.4065696597405991,0.5132477440400283,0.164729788588728,0.5934303402594009,0.48675225595997174,0.835270211411272,0.4065696597405991
0.09,2,8,2,0.4453660751023487,0.6794604923110045,0.3027051347668413,0.6708634012285798,0.8097821308855385,0.5862040708635535,0.284664610721786,0.05280240533594319,0.41379592913644647,0.22858313331824226,0.11192738325278481,0.17963441112295442
0.09,3,8,2,0.4259261886654512,0.5694656873732772,0.24858443743137176,0.7624505938459193,0.8218466540815039,0.6890672991193288,0.16341849802912134,0.022733247286347902,0.3109327008806712,0.12124611269266466,0.030069158049595285,0.10286322825577526
0.09,4,8,2,0.40885608696378156,0.49441431466833646,0.21495908113532,0.81619402651048,0.8427968773332207,0.7559051067955612,0.09660385038743634,0.011493604409082385,0.2440948932044388,0.066814647641685,0.011239642877265517,0.0668378076762324
0.09,5,8,2,0.39204489224100997,0.4425252836798463,0.19199992087347792,0.8516012628984763,0.8639232686556573,0.8027713069764335,0.058730804272227204,0.0064073938574492695,0.1972286930235665,0.037873046115209134,0.005086210551633116,0.046866200180872314
0.09,6,8,2,0.3759466821971346,0.4056298409494707,0.17535387618461523,0.8769187797527205,0.8827731503582548,0.8373561227929415,0.036651153263314085,0.0038083637061515066,0.16264387720705853,0.02207965100891312,0.002599030151297763,0.03458481581650796
0.09,7,8,2,0.36109258542373035,0.37853764362056924,0.1627709834528525,0.896085620916978,0.8989229528202146,0.8638298266385194,0.02341669357270261,0.0023667546827748176,0.13617017336148063,0.013234459690611475,0.001441609023376689,0.0264737038455779
0.09,8,8,2,0.3477452988947842,0.3580055966181613,0.1529633956626451,0.911182364274662,0.9125795107943947,0.8846588787438625,0.015273648467135569,0.001519443260519192,0.1153411212561375,0.008143045105567041,8.473114222556255e-4,0.020829052105343124
0.09,9,8,2,0.3359501091095988,0.34199250107357987,0.145137861788881,0.9234077410146854,0.92410467727888,0.9013992424593104,0.010142464598099716,9.998050596148388e-4,0.09860075754068966,0.005131183869035853,5.196382009043533e-4,0.016740363715447848
0.09,10,8,2,0.3256267209598868,0.3291904571056485,0.13877781812816742,0.933506283821446,0.9338576709050932,0.9150828404565917,0.006839807108568768,6.706787750236897e-4,0.0849171595434083,0.0033026574895309475,3.2912628459114905e-4,0.01368359799728136
0.09,11,8,2,0.3166365068169784,0.31874155819044653,0.1335318093121564,0.9419707132232366,0.9421494682065644,0.9264219824120721,0.004674074478409616,4.56905577227379e-4,0.07357801758792794,0.0021657326301591524,2.1377319779631074e-4,0.011339141955480359
0.09,12,8,2,0.30882266609966846,0.31006791782127197,0.12915207631007436,0.9491445419699043,0.9492361651229778,0.9359247361543321,0.0032306143364387416,3.1523381625555923e-4,0.06407526384566786,0.0014434601419708744,1.4167176097181974e-4,0.009502753742260076
0.09,13,8,2,0.3020315188968164,0.3027691663984249,0.1254587561853077,0.9552774854173535,0.9553247503756441,0.943963539058655,0.002254866981434318,2.1979073648726932e-4,0.056036460941344964,9.757473550044238e-4,9.544307976828992e-5,0.008038802904322899
